JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2460188.79506,12.911,0.056,,V,PEX,,ENSEMBLE,95,X28117QT,|CMAGINS=-9.022|CREFMAG=10.015|ENSTYPE=1|KMAGINS=-9.506|KMAGSTD=9.531|KREFERR=0.037|KREFMAG=9.502|OBSERVAT=BSM_TX|VMAGINS=-6.126,0,1.115,Z,,9.531,,IY CEP,AAVSO,STD,0,,,
2460188.79616,12.074,0.047,,R,PEX,,ENSEMBLE,95,X28117QT,|CMAGINS=-7.791|CREFMAG=11.042|ENSTYPE=1|KMAGINS=-9.456|KMAGSTD=9.377|KREFMAG=0.000|OBSERVAT=BSM_TX|VMAGINS=-6.759,0,1.115,Z,,9.377,,IY CEP,AAVSO,STD,0,,,
2460188.79729,11.261,0.057,,I,PEX,,ENSEMBLE,95,X28117QT,|CMAGINS=-7.621|CREFMAG=9.634|ENSTYPE=1|KMAGINS=-8.083|KMAGSTD=9.173|KREFERR=0.054|KREFMAG=8.923|OBSERVAT=BSM_TX|VMAGINS=-5.995,0,1.116,Z,,9.173,,IY CEP,AAVSO,STD,0,,,
2460188.79868,14.354,0.087,,B,PEX,,ENSEMBLE,95,X28117QT,|CMAGINS=-8.671|CREFMAG=10.323|ENSTYPE=1|KMAGINS=-9.185|KMAGSTD=9.809|KREFERR=0.057|KREFMAG=9.765|OBSERVAT=BSM_TX|VMAGINS=-4.640,0,1.117,Z,,9.809,,IY CEP,AAVSO,STD,0,,,
2460188.79990,12.973,0.056,,V,PEX,,ENSEMBLE,95,X28117QT,|CMAGINS=-8.996|CREFMAG=10.015|ENSTYPE=1|KMAGINS=-9.490|KMAGSTD=9.521|KREFERR=0.037|KREFMAG=9.502|OBSERVAT=BSM_TX|VMAGINS=-6.037,0,1.118,Z,,9.521,,IY CEP,AAVSO,STD,0,,,
2460188.80102,12.114,0.048,,R,PEX,,ENSEMBLE,95,X28117QT,|CMAGINS=-7.769|CREFMAG=11.042|ENSTYPE=1|KMAGINS=-9.466|KMAGSTD=9.344|KREFMAG=0.000|OBSERVAT=BSM_TX|VMAGINS=-6.697,0,1.119,Z,,9.344,,IY CEP,AAVSO,STD,0,,,
2460188.80215,11.265,0.058,,I,PEX,,ENSEMBLE,95,X28117QT,|CMAGINS=-7.614|CREFMAG=9.634|ENSTYPE=1|KMAGINS=-8.104|KMAGSTD=9.145|KREFERR=0.054|KREFMAG=8.923|OBSERVAT=BSM_TX|VMAGINS=-5.984,0,1.120,Z,,9.145,,IY CEP,AAVSO,STD,0,,,
2460189.92778,14.673,0.113,,B,PEX,,ENSEMBLE,95,X28117QT,|CMAGINS=-8.548|CREFMAG=10.323|ENSTYPE=1|KMAGINS=-9.061|KMAGSTD=9.810|KREFERR=0.057|KREFMAG=9.765|OBSERVAT=BSM_TX|VMAGINS=-4.197,0,1.484,Z,,9.810,,IY CEP,AAVSO,STD,0,,,
2460189.92900,13.089,0.063,,V,PEX,,ENSEMBLE,95,X28117QT,|CMAGINS=-8.935|CREFMAG=10.015|ENSTYPE=1|KMAGINS=-9.419|KMAGSTD=9.531|KREFERR=0.037|KREFMAG=9.502|OBSERVAT=BSM_TX|VMAGINS=-5.861,0,1.491,Z,,9.531,,IY CEP,AAVSO,STD,0,,,
2460189.93012,12.221,0.053,,R,PEX,,ENSEMBLE,95,X28117QT,|CMAGINS=-7.730|CREFMAG=11.042|ENSTYPE=1|KMAGINS=-9.432|KMAGSTD=9.341|KREFMAG=0.000|OBSERVAT=BSM_TX|VMAGINS=-6.551,0,1.498,Z,,9.341,,IY CEP,AAVSO,STD,0,,,
2460189.93126,11.343,0.060,,I,PEX,,ENSEMBLE,95,X28117QT,|CMAGINS=-7.634|CREFMAG=9.634|ENSTYPE=1|KMAGINS=-8.098|KMAGSTD=9.171|KREFERR=0.054|KREFMAG=8.923|OBSERVAT=BSM_TX|VMAGINS=-5.925,0,1.505,Z,,9.171,,IY CEP,AAVSO,STD,0,,,
2460189.93265,14.753,0.119,,B,PEX,,ENSEMBLE,95,X28117QT,|CMAGINS=-8.533|CREFMAG=10.323|ENSTYPE=1|KMAGINS=-9.059|KMAGSTD=9.796|KREFERR=0.057|KREFMAG=9.765|OBSERVAT=BSM_TX|VMAGINS=-4.102,0,1.513,Z,,9.796,,IY CEP,AAVSO,STD,0,,,
2460189.93387,13.158,0.066,,V,PEX,,ENSEMBLE,95,X28117QT,|CMAGINS=-8.959|CREFMAG=10.015|ENSTYPE=1|KMAGINS=-9.439|KMAGSTD=9.535|KREFERR=0.037|KREFMAG=9.502|OBSERVAT=BSM_TX|VMAGINS=-5.816,0,1.520,Z,,9.535,,IY CEP,AAVSO,STD,0,,,
2460189.93497,12.213,0.053,,R,PEX,,ENSEMBLE,95,X28117QT,|CMAGINS=-7.688|CREFMAG=11.042|ENSTYPE=1|KMAGINS=-9.401|KMAGSTD=9.329|KREFMAG=0.000|OBSERVAT=BSM_TX|VMAGINS=-6.518,0,1.527,Z,,9.329,,IY CEP,AAVSO,STD,0,,,
2460189.93611,11.398,0.062,,I,PEX,,ENSEMBLE,95,X28117QT,|CMAGINS=-7.600|CREFMAG=9.634|ENSTYPE=1|KMAGINS=-8.046|KMAGSTD=9.188|KREFERR=0.054|KREFMAG=8.923|OBSERVAT=BSM_TX|VMAGINS=-5.836,0,1.534,Z,,9.188,,IY CEP,AAVSO,STD,0,,,
2460189.93749,14.506,0.102,,B,PEX,,ENSEMBLE,95,X28117QT,|CMAGINS=-8.553|CREFMAG=10.323|ENSTYPE=1|KMAGINS=-9.104|KMAGSTD=9.772|KREFERR=0.057|KREFMAG=9.765|OBSERVAT=BSM_TX|VMAGINS=-4.370,0,1.543,Z,,9.772,,IY CEP,AAVSO,STD,0,,,
2460189.93869,13.118,0.065,,V,PEX,,ENSEMBLE,95,X28117QT,|CMAGINS=-8.911|CREFMAG=10.015|ENSTYPE=1|KMAGINS=-9.389|KMAGSTD=9.537|KREFERR=0.037|KREFMAG=9.502|OBSERVAT=BSM_TX|VMAGINS=-5.808,0,1.551,Z,,9.537,,IY CEP,AAVSO,STD,0,,,
2460189.93981,12.187,0.052,,R,PEX,,ENSEMBLE,95,X28117QT,|CMAGINS=-7.716|CREFMAG=11.042|ENSTYPE=1|KMAGINS=-9.422|KMAGSTD=9.337|KREFMAG=0.000|OBSERVAT=BSM_TX|VMAGINS=-6.572,0,1.558,Z,,9.337,,IY CEP,AAVSO,STD,0,,,
2460189.94097,11.363,0.063,,I,PEX,,ENSEMBLE,95,X28117QT,|CMAGINS=-7.549|CREFMAG=9.634|ENSTYPE=1|KMAGINS=-8.060|KMAGSTD=9.124|KREFERR=0.054|KREFMAG=8.923|OBSERVAT=BSM_TX|VMAGINS=-5.821,0,1.566,Z,,9.124,,IY CEP,AAVSO,STD,0,,,
2460191.76824,13.923,0.064,,B,PEX,,ENSEMBLE,95,X28117QT,|CMAGINS=-8.671|CREFMAG=10.323|ENSTYPE=1|KMAGINS=-9.207|KMAGSTD=9.786|KREFERR=0.057|KREFMAG=9.765|OBSERVAT=BSM_TX|VMAGINS=-5.071,0,1.107,Z,,9.786,,IY CEP,AAVSO,STD,0,,,
